title,location,city,start_date,start_time,event_link,ticket_link,scraped_at
Black Eyed Peas,Kauno Žalgirio arena,Kaunas,2026-06-18,20:00,https://www.bilietai.lt/eng/tickets/koncertai/black-eyed-peas-492136/,https://store.bilietai.lt/public/?concert=492136&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Men I Trust - Equus Euro Tour 2026,Lukiškių kalėjimas 2.0,Vilnius,2026-06-20,19:00,https://www.bilietai.lt/eng/tickets/koncertai/men-i-trust-equus-euro-tour-2026-487944/,https://store.bilietai.lt/public/?concert=487944&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Benjamin Clementine - European Tour 2026,Lukiškių kalėjimas 2.0,Vilnius,2026-06-23,19:00,https://www.bilietai.lt/eng/tickets/koncertai/benjamin-clementine-european-tour-2026-488538/,https://store.bilietai.lt/public/?concert=488538&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
STING 3.0 TOUR,Kalnų parkas,Vilnius,2026-06-23,20:00,https://www.bilietai.lt/eng/tickets/koncertai/sting-30-tour-481578/,https://store.bilietai.lt/public/?concert=481578&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
THOMAS ANDERS from Modern Talking,Palangos koncertų salė,Palanga,2026-06-26,20:00,https://www.bilietai.lt/eng/tickets/koncertai/thomas-anders-from-modern-talking-488787/,https://store.bilietai.lt/public/?concert=488787&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
GIPSY KINGS,Palangos koncertų salė,Palanga,2026-07-02,20:00,https://www.bilietai.lt/eng/tickets/koncertai/gipsy-kings-486700/,https://store.bilietai.lt/public/?concert=486700&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Lenny Kravitz,Kauno Žalgirio arena,Kaunas,2026-07-18,20:00,https://www.bilietai.lt/eng/tickets/koncertai/lenny-kravitz-487403/,https://store.bilietai.lt/public/?concert=487403&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Jonathan Dassin,Palangos koncertų salė,Palanga,2026-07-31,20:00,https://www.bilietai.lt/eng/tickets/koncertai/jonathan-dassin-488767/,https://store.bilietai.lt/public/?concert=488767&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Pitbull - I'm Back,Dariaus ir Girėno stadionas,Kaunas,2026-07-31,20:00,https://www.bilietai.lt/eng/tickets/koncertai/pitbull-im-back-100987/,,2026-02-16T05:41:05Z
Sounds Good Vilnius | Moby,Kalnų parkas,Vilnius,2026-08-08,19:30,https://www.bilietai.lt/eng/tickets/koncertai/sounds-good-vilnius--moby-101344/,,2026-02-16T05:41:05Z
Tash Sultana - Return To The Roots Tour 2026,Lukiškių kalėjimas 2.0,Vilnius,2026-08-16,19:00,https://www.bilietai.lt/eng/tickets/koncertai/tash-sultana-return-to-the-roots-tour-2026-489366/,https://store.bilietai.lt/public/?concert=489366&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
NICK CAVE & THE BAD SEEDS | KALNŲ PARKAS | VILNIUS,Kalnų parkas,Vilnius,2026-08-18,19:00,https://www.bilietai.lt/eng/tickets/koncertai/nick-cave--the-bad-seeds--kalnu-parkas--vilnius-481977/,https://store.bilietai.lt/public/?concert=481977&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
OMD | Summer Of Hits,Lukiškių kalėjimas 2.0,Vilnius,2026-08-26,19:00,https://www.bilietai.lt/eng/tickets/koncertai/omd--summer-of-hits-490008/,https://store.bilietai.lt/public/?concert=490008&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Jessica Shy,Vilniaus Vingio parkas,Vilnius,2026-08-28,20:00,https://www.bilietai.lt/eng/tickets/koncertai/jessica-shy-100896/,,2026-02-16T05:41:05Z
"''EKSPRESIJOS ERA'' Finalinis koncertas | G. Gelgotas, P. Geniušas ir ansamblis NIKO",LVSO koncertų salė,Vilnius,2026-09-10,19:30,https://www.bilietai.lt/eng/tickets/koncertai/ekspresijos-era-finalinis-koncertas--g-gelgotas-p-geniusas-ir-ansamblis-niko-489055/,https://store.bilietai.lt/public/?concert=489055&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
ASAP Rocky - Don't Be Dumb World Tour,Kauno Žalgirio arena,Kaunas,2026-09-25,19:30,https://www.bilietai.lt/eng/tickets/koncertai/aap-rocky-dont-be-dumb-world-tour-492304/,https://store.bilietai.lt/public/?concert=492304&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
JACK SAVORETTI | Kablys | Vilnius,Kablys,Vilnius,2026-10-05,20:00,https://www.bilietai.lt/eng/tickets/koncertai/jack-savoretti--kablys--vilnius-492279/,https://store.bilietai.lt/public/?concert=492279&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Amon Amarth + Orbit Culture + Soilwork 2026,Unibet Arena,Tallinn,2026-10-27,18:30,https://www.bilietai.lt/eng/tickets/koncertai/amon-amarth-orbit-culture-soilwork-2026-487785/,https://store.bilietai.lt/public/?concert=487785&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
KÄÄRIJÄ | EURODISKO-TOUR 2026,Menų fabrikas LOFTAS,Vilnius,2026-10-27,20:00,https://www.bilietai.lt/eng/tickets/koncertai/kaarija--eurodisko-tour-2026-488765/,https://store.bilietai.lt/public/?concert=488765&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
